"SYSTEM","PARENTID","DEPARTMENT","DESCRIPTION","SYNTURF_Location","System_Type","Turf_Type","Infill_Material","JOP","Maint_By","Maint_By_Spec","Construction_Entity","Construction_Entity_Spec","Contract_Type","Contract_Number","Commission_Date","RETIRED","Borough","Shape","FeatureStatus"
"B017-SYNTURF-0133","B017","B-04","Bushwick Playground Volleyball-01","Woodbine Street and Knickerbocker Avenue","Field Group","Infill","Non-Infill","true","DPR","NULL","DPR","NULL","Capital","NULL","09/15/2025","False","B","MULTIPOLYGON (((-73.91233519127634 40.69623701284204, -73.91215598476529 40.69613510112443, -73.91208289040327 40.69620644698537, -73.91226473225011 40.696308072660635, -73.91233519127634 40.69623701284204)))","Active"
"B017-SYNTURF-0132","B017","B-04","Bushwick Playground Softball-01, Soccer-01","Woodbine Street and Knickerbocker Avenue","Field Group","Infill","Coated Sand","true","DPR","NULL","DPR","NULL","Capital","NULL","09/15/2025","False","B","MULTIPOLYGON (((-73.91307559656602 40.69603895908816, -73.91307263192365 40.69598426329222, -73.91274058832695 40.695797699482945, -73.91273564730058 40.69576623091131, -73.91253404985711 40.695653093209906, -73.91249056757925 40.695623872727474, -73.91238878048081 40.6957250219578, -73.91243522773337 40.69575424293314, -73.91210516025201 40.69609740016631, -73.91271193042313 40.69644280434899, -73.91284533996833 40.69631018695412, -73.91284138796809 40.6962787191381, -73.91298072775118 40.69613636162391, -73.91307559656602 40.69603895908816)))","Active"
"M105-SYNTURF-0118","M105","M-03","Sara D. Roosevelt - Nike Field","Stanton Street and Chrystie Street","Field Group","Infill","Non-Infill","false","DPR","NULL","Other","NULL",,"NULL","04/01/2025","False","M","MULTIPOLYGON (((-73.99288463069014 40.71944958425486, -73.99307431813057 40.7190821202802, -73.99279072581326 40.71898889109788, -73.99260927000245 40.71936629406536, -73.99288463069014 40.71944958425486)))","Active"
"B017-SYNTURF-0002","B017","B-04","Bushwick Playground Volleyball-01","Woodbine Street and Knickerbocker Avenue","Field Group","Infill","Rubber Crumb","true","DPR","NULL","DPR","NULL","Capital","B017-105M","06/02/2006","False","B","MULTIPOLYGON (((-73.91216947973429 40.696133324806055, -73.91209261492104 40.696209879064305, -73.91226278139959 40.69630614767775, -73.91233809168901 40.6962285259155, -73.91216947973429 40.696133324806055)))","Archived"
"B017-SYNTURF-0001","B017","B-04","Bushwick Playground Softball-01, Soccer-01","Woodbine Street and Knickerbocker Avenue","Field Group","Infill","Rubber Crumb","true","DPR","NULL","DPR","NULL","Capital","B017-105M","06/02/2006","False","B","MULTIPOLYGON (((-73.91219174635536 40.69604995969694, -73.91213109219935 40.69611019104281, -73.91216965862445 40.696133146641, -73.91216947973429 40.696133324806055, -73.91233809168901 40.6962285259155, -73.91271237323994 40.69643985100238, -73.91283466882454 40.696311318922106, -73.91283177879252 40.69627390402193, -73.91306785173832 40.69603438133404, -73.9130576856232 40.695978524739715, -73.9127390066521 40.69580117246292, -73.9127348953608 40.69576853115193, -73.91252327942965 40.69564971620479, -73.9124786038571 40.69562463176775, -73.91231486229209 40.69579357395072, -73.91236720730667 40.69582296424041, -73.91217049797831 40.6960375641314, -73.91219174635536 40.69604995969694)))","Archived"
"Q492-SYNTURF-0117","Q492","Q-04","Elmhurst Park Play Area","57th Ave & 54th Ave","Play Area","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","InHouse","NULL","07/24/2025","False","Q","MULTIPOLYGON (((-73.8849419003847 40.729075260354534, -73.8849451543035 40.729053417248075, -73.88493911029138 40.72902523246884, -73.88492005009155 40.72899422959468, -73.8848800674108 40.72896393161226, -73.88483171723777 40.72894032683805, -73.8847522185855 40.72892482517361, -73.88471223694347 40.72892341637595, -73.88467318553938 40.72892552948791, -73.8846466857382 40.728929404851094, -73.8845885731493 40.72894561162102, -73.88455974911687 40.72896005571454, -73.88452720533775 40.72898295545602, -73.88450721475974 40.72901078816316, -73.8844979159565 40.72904390497487, -73.88450163535421 40.72907525994025, -73.88452209089358 40.729108376877925, -73.8845504506607 40.72913374294808, -73.88458671332432 40.729154176738064, -73.88462855463715 40.72916932561353, -73.88467179012096 40.729178485681764, -73.88469736043216 40.72918165676848, -73.88474059628386 40.7291837703253, -73.88477592921862 40.72917989477474, -73.88480126668381 40.72917601911951, -73.88482613907364 40.729169325299694, -73.88487030451829 40.72915135837847, -73.88490377739451 40.72913057206432, -73.88492609300764 40.72910872909939, -73.88493678586485 40.729092170412194, -73.8849419003847 40.729075260354534)))","Active"
"Q104-SYNTURF-0116","Q104","Q-01","Queensbridge Park Play Area","Vernon Boulevard 40th Avenue","Play Area","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","InHouse","NULL","10/01/2025","False","Q","MULTIPOLYGON (((-73.9479717866282 40.757748376733076, -73.94797952972455 40.75773558405219, -73.9479892922861 40.7577102293356, -73.94800509859509 40.757659871219296, -73.94801067767511 40.75761268276587, -73.94801253743164 40.75756197165836, -73.94800323954202 40.75751548788893, -73.94798882683662 40.75747217248785, -73.94797116058434 40.757430970001415, -73.94794977596932 40.75740174074963, -73.94791118805604 40.75735877821643, -73.94788003946975 40.75732954903852, -73.9478456366013 40.75730489834807, -73.94776381309185 40.757258061119565, -73.94767362268101 40.757225311137525, -73.94758575491993 40.757208759528375, -73.94750625676961 40.75720347698637, -73.94743698617678 40.75720805508591, -73.94735748659298 40.75722108511409, -73.94729518999257 40.757239045120755, -73.94725520837046 40.757254891921875, -73.947147815268 40.75731863268633, -73.94779000882862 40.75765329480264, -73.9479717866282 40.757748376733076)))","Active"
"Q104-SYNTURF-0115","Q104","Q-01","Queensbridge Park Volleyball","Vernon Boulevard and 41st Avenue","Field Group","Infill","Coated Sand","false","DPR","DPR","DPR","NULL","InHouse","NULL","09/01/2025","False","Q","MULTIPOLYGON (((-73.94819170382743 40.757025470157146, -73.94835661457992 40.75683044254524, -73.9481400443509 40.75672558227268, -73.94812736900931 40.75673697876316, -73.94811692543433 40.75674900841208, -73.94809566574419 40.75677546288317, -73.94805593482323 40.75682273770884, -73.94797201039465 40.75691911873147, -73.94819170382743 40.757025470157146)))","Active"
"M107-SYNTURF-0128","M107","M-11R","Wards Island - Fields 84","Southwest at East River Lane","Field Group","Infill","Coated Sand","false","Other","NULL","DPR","NULL",,"NULL","09/19/2025","False","M","MULTIPOLYGON (((-73.93391356371048 40.784900596180314, -73.93346874708101 40.78548456131231, -73.93457002516327 40.78597345899581, -73.93496462010285 40.785449251926856, -73.93496436759 40.7852686985369, -73.93490625455868 40.78526095383317, -73.93487185147346 40.785249689834245, -73.9348439578964 40.7852342016509, -73.93481028381623 40.785214088817504, -73.93479091292956 40.78518801464372, -73.93477799920126 40.78516519943397, -73.93475862818543 40.78522875577096, -73.93391706432517 40.78488652424895, -73.93391356371048 40.784900596180314)))","Active"
"M107-SYNTURF-0127","M107","M-11R","Wards Island - Fields 85","Southwest at East River Lane","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL",,"NULL","09/09/2025","False","M","MULTIPOLYGON (((-73.93409441704055 40.784542539655234, -73.93333679455266 40.784231620845596, -73.93274705487327 40.78500898109544, -73.93351015782628 40.785343910670996, -73.93409441704055 40.784542539655234)))","Active"
"M107-SYNTURF-0126","M107","M-11R","Wards Island - Fields 83","Southwest at East River Lane Infill","Field Group","Infill","Coated Sand","false","Other","Randall's Island Park Alliance","DPR","NULL",,"NULL","09/19/2025","False","M","MULTIPOLYGON (((-73.93486266691241 40.783771586018005, -73.93462322312922 40.78396758780351, -73.93391567750618 40.78487408932832, -73.93475696600959 40.785215453522376, -73.93477869611088 40.78514918260813, -73.93477645954484 40.785136879591256, -73.93477590097166 40.78512415338779, -73.93477813669834 40.78510102977432, -73.93478030507436 40.78509465455023, -73.9347835910938 40.785082987711164, -73.93479016194466 40.7850681214478, -73.93481169264015 40.785039658870055, -73.93483844898478 40.7850186301815, -73.93487191425122 40.78500141259868, -73.9349444375478 40.7849733272958, -73.93495353181896 40.7849693765259, -73.93496458109604 40.784965213439676, -73.93498556327489 40.78495604106335, -73.9350269688376 40.78493727274838, -73.9350661376678 40.784917234351624, -73.93510474733701 40.784895925919464, -73.93511061069988 40.7848909044224, -73.93511144165471 40.78488799897178, -73.93511254467933 40.78488430573555, -73.9351119543117 40.784878611531894, -73.93510350605808 40.78486764767106, -73.93508661027822 40.78484741289086, -73.93514007577303 40.78481574714012, -73.93520251269715 40.784772352873745, -73.93527473450936 40.784701793235605, -73.93530735008386 40.78466016245094, -73.93533903472783 40.78460724244668, -73.9353641949686 40.78454832503574, -73.93537863946804 40.78448199858702, -73.93538236724653 40.78442272876153, -73.93538096931404 40.784404382959, -73.93543501936806 40.78439979638113, -73.93544526979753 40.784390976307165, -73.93544433836844 40.78438145027944, -73.93543828018082 40.784336998126186, -73.935423369915 40.784282666111636, -73.93538236696396 40.7842032864226, -73.93533530640617 40.78413272553376, -73.93527752973807 40.78406145981775, -73.93522534408254 40.7839972499436, -73.93519785280424 40.78396690829384, -73.93519505776601 40.78396479144374, -73.93519039849339 40.78396338043899, -73.93518573837987 40.78396161643693, -73.93517874909358 40.783962322101196, -73.93517175977153 40.78396549784106, -73.93513588227984 40.783983490388096, -73.93510280063359 40.783949268909254, -73.93502918188672 40.783882235507164, -73.93492900348343 40.78380779394487, -73.93486796444719 40.7837672215789, -73.93486266691241 40.783771586018005)))","Active"
"M107-SYNTURF-0125","M107","M-11R","Wards Island - Fields 82","Southwest at East River Lane","Field Group","Infill","Coated Sand","false","Other","Randall's Island Park Alliance","DPR","NULL",,"NULL","09/09/2025","False","M","MULTIPOLYGON (((-73.93471310401623 40.78369155214301, -73.93453621775488 40.783619684513596, -73.93454916083829 40.7835821175303, -73.93446718958126 40.78354291623094, -73.93427088785947 40.78349391619777, -73.93404870237624 40.78342531510679, -73.93397320132146 40.78339918073641, -73.93334978503621 40.78421258995345, -73.93410694536449 40.784529457127974, -73.93475193286613 40.78370951843107, -73.93471310401623 40.78369155214301)))","Active"
"B028-SYNTURF-0131","B028","B-10","Dyker Beach-Softball-01","14th Avenue and Benson Avenue","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL",,"NULL","07/21/2025","False","B","MULTIPOLYGON (((-74.01446741864733 40.61315696131099, -74.01491597774813 40.612703112474996, -74.01486973399886 40.612643434626584, -74.01479970909504 40.61258827053408, -74.01473034419058 40.61254614495988, -74.01463257217856 40.61251505254653, -74.0145083759769 40.61248997706856, -74.01436766472146 40.61248596581134, -74.01422761379627 40.61250301658955, -74.01406444142226 40.6125606880352, -74.01399045266209 40.61260080717711, -74.01392835414855 40.61264844958574, -74.01386823828048 40.6127126405984, -74.01381803164452 40.61278184629112, -74.01395940414713 40.612871111376656, -74.01411795178196 40.612967398244095, -74.01427649933571 40.61306669263245, -74.0143438833616 40.61311132577631, -74.01434057929586 40.613127373474605, -74.0143960716532 40.613163981726025, -74.01446741864733 40.61315696131099)))","Active"
"B028-SYNTURF-0130","B028","B-10","Dyker Beach-Softball-02","14th Avenue and Benson Avenue","Field Group","Infill","Non-Infill","false","DPR","NULL","DPR","NULL",,"NULL","07/21/2025","False","B","MULTIPOLYGON (((-74.01550934618606 40.61209865366325, -74.01524187382417 40.611957403067926, -74.01488967295485 40.61174048125014, -74.01480494548109 40.61179092858731, -74.01470194393487 40.61188047162775, -74.01464047407082 40.61197127542545, -74.01460226454843 40.61207090854876, -74.01460060306886 40.61218945787247, -74.01462718347004 40.61229791776709, -74.01469862013948 40.61241268367998, -74.01478168650046 40.61249844226566, -74.01491459327023 40.61257285137002, -74.01500928872213 40.61261572996588, -74.0152119699188 40.61242529532653, -74.01538807046845 40.61225882225362, -74.0155159923302 40.61215162322413, -74.01550934618606 40.61209865366325)))","Active"
"Q131-SYNTURF-0114","Q131","Q-05","Frank Principe Park Field 2","Maurice Avenue and 54th Avenue","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","Q131-115M","11/19/2018","False","Q","MULTIPOLYGON (((-73.90562982484398 40.727319883193324, -73.90560075261095 40.72730602934005, -73.90554256625752 40.72727616485718, -73.9054298967439 40.72721864149016, -73.90533230318765 40.7271693358496, -73.90524079216932 40.72712463943614, -73.90509241759341 40.727051682234304, -73.90501042847433 40.72701119526165, -73.90500196438751 40.727009992402316, -73.90498847619969 40.727010794433305, -73.90497816101399 40.72701360001307, -73.90496890380594 40.72701740873212, -73.9049622916709 40.72702322056547, -73.90495779655592 40.72702863251871, -73.90495039076464 40.727040658111584, -73.90490894225572 40.727094685970314, -73.90469163752672 40.72735219876951, -73.90448855141841 40.72759703026705, -73.90441343894673 40.72768802473908, -73.90436367035902 40.72774873897606, -73.90433042309316 40.72779106681248, -73.90432260999053 40.72780303439285, -73.90431845443956 40.727812607856315, -73.90431795540596 40.72781638687918, -73.90431862078228 40.72782041811172, -73.90432044920394 40.72782482762407, -73.90432394047833 40.72783024438702, -73.90432826262015 40.72783490541234, -73.90433291682636 40.72783830690089, -73.90433873480268 40.72784158238431, -73.90435735322986 40.7278507776425, -73.90448129808041 40.72790889944042, -73.90458901612945 40.727960044922014, -73.90468077619938 40.728003253512085, -73.90481396129861 40.72806745743459, -73.90492068188024 40.72811784715305, -73.90497454111585 40.72814266372261, -73.90545351682431 40.727557846736616, -73.90543938680992 40.72755041403616, -73.90562982484398 40.727319883193324)))","Active"
"Q131-SYNTURF-0113","Q131","Q-05","Frank Principe Park Field 1","Maurice Avenue and 54th Avenue","Field Group","Infill","Coated Sand","false","DPR","NULL","DPR","NULL","Capital","Q131-115M","11/19/2018","False","Q","MULTIPOLYGON (((-73.90568236696593 40.72735923887974, -73.90561419324519 40.727368925627616, -73.9055694543295 40.727423819115145, -73.90558303286684 40.72742948094624, -73.90558938018535 40.72744431213648, -73.90548543938232 40.72757178581298, -73.90545945440539 40.72756194262571, -73.90498862806135 40.72814880691463, -73.90526445148951 40.728281519797605, -73.90527246128505 40.72827183330589, -73.90528063769479 40.728261516594216, -73.90533273644432 40.72828505012269, -73.90533024690029 40.72828767756285, -73.90534785960025 40.728295917293465, -73.90536694988678 40.728304779587056, -73.90540407279786 40.728322103469715, -73.90547778955404 40.72835675166522, -73.90548277538679 40.72837010490663, -73.9054749633389 40.728378923484286, -73.90554527943644 40.72841268364401, -73.90561077461578 40.72840109466731, -73.90565622759219 40.728346444893084, -73.90564432673952 40.728341233800414, -73.90564221018361 40.72833041064664, -73.90572049740634 40.728231199033466, -73.90583396022461 40.72809310333198, -73.90586220844274 40.72807633553424, -73.9059084917843 40.72805869726777, -73.90596218220476 40.72804566933593, -73.90602142574964 40.72804667134313, -73.90605977645814 40.728057094514185, -73.90640175170275 40.727790924016105, -73.90641180217995 40.72778110312653, -73.90641603364077 40.72776867683604, -73.9064170919049 40.72775264232729, -73.90641550498094 40.72774222034404, -73.90640862815944 40.72772498350941, -73.90640016473004 40.72771395979926, -73.90638138690927 40.72770093127377, -73.90626739493523 40.72764340855602, -73.90611346639932 40.72756463897013, -73.9059640333004 40.727489678401106, -73.90594737140309 40.72751152555695, -73.90575165399751 40.727417723360844, -73.90574610024412 40.727401689748675, -73.90575324093331 40.727392068248264, -73.90568236696593 40.72735923887974)))","Active"
"M107-SYNTURF-0123","M107","M-11R","Wards Island - Field 75","Wards Meadow Loop","Field Group","Infill","Uncoated Sand","false","Unknown","Randall's Island Park Alliance","Unknown","NULL","Unknown","NULL","05/31/2009","False","M","MULTIPOLYGON (((-73.92761251109785 40.781530285444134, -73.92758104914452 40.781534269309255, -73.92750565350015 40.78155271461473, -73.92741923678804 40.78157774640617, -73.92737979877332 40.78159663030262, -73.92728062370057 40.78164713365502, -73.92722784548565 40.7816862181475, -73.92717564843116 40.78173979566267, -73.92712925039079 40.78178458972211, -73.92706893310323 40.78182982340445, -73.92701151574062 40.78186539470397, -73.92697265696593 40.781885156816806, -73.92686130191896 40.781927755585315, -73.92677024683594 40.78194707836445, -73.92671514915519 40.78195542161004, -73.92664555250416 40.78196244897266, -73.92659741475384 40.78197079208948, -73.92655507564778 40.78198264993929, -73.9265138982611 40.782002412220464, -73.92648953886903 40.78202612581286, -73.92645763995296 40.782068284974336, -73.92644894123293 40.782091560100994, -73.92644488072841 40.78211571437587, -73.92644546058042 40.78215919008162, -73.92645880032798 40.78220398416091, -73.92647735975093 40.782221989833744, -73.92651737818343 40.782260635186475, -73.92656957512432 40.78231113799113, -73.92660350434222 40.78234231787394, -73.92663279287903 40.78237701125241, -73.92665831082192 40.782412582914496, -73.92668267060839 40.782449910713204, -73.9267052897349 40.78248328599696, -73.9267308078037 40.78251666221873, -73.926751687458 40.78255794189353, -73.92676328658982 40.78258604762707, -73.92677140671076 40.78260624924438, -73.92677430614752 40.78262732823473, -73.92678416535806 40.782637867669926, -73.92679866458866 40.782656311955996, -73.92681896374377 40.782678270079884, -73.9268381980737 40.782693581820006, -73.92686037846403 40.78270158515218, -73.92688313821365 40.78270739252349, -73.92692088308978 40.78270994687552, -73.92694732257706 40.7827059528033, -73.92700710408442 40.782674762178075, -73.92705996119973 40.782649921080825, -73.92712776243195 40.782627839542855, -73.92718061830914 40.78261597101996, -73.9272337296241 40.78261750930671, -73.92812195862562 40.78223731650439, -73.92761251109785 40.781530285444134)))","Active"
"M-11R-SYNTURF-0122","M-11R","M-11R","Wards Island - Field 74","Wards Meadow Loop","Field Group","Infill","Uncoated Sand","false","Unknown","Randall's Island Park Alliance","Unknown","NULL","Unknown","NULL","05/31/2009","False","M","MULTIPOLYGON (((-73.92924527771505 40.78193762401923, -73.92920650688188 40.781913141673655, -73.92916604478832 40.781892715937346, -73.9291157407854 40.7818753269297, -73.92901549630385 40.78184744961915, -73.92893566465553 40.781815430795135, -73.92885109492738 40.781768507482944, -73.92880042614466 40.781730140917325, -73.92874829966502 40.78168459732717, -73.9286983264775 40.78162403737287, -73.92866879834787 40.78157233208282, -73.92866714465647 40.78156449489034, -73.92864606595737 40.78155668799552, -73.92863942168363 40.781540726984964, -73.9286199804963 40.78150501994354, -73.92860722221958 40.78147907487941, -73.9285904538649 40.781453128229415, -73.9285667596784 40.78142525111004, -73.92853978547632 40.781395992382606, -73.92851390384932 40.78137197885057, -73.92847963779545 40.78134410055739, -73.92845011129793 40.781322019027144, -73.92841402328017 40.78129745253019, -73.92837428978223 40.78127537094286, -73.92833820208511 40.78125936189353, -73.92830174982363 40.78124418016749, -73.92818509753025 40.78130122367735, -73.92777111601092 40.78147180730285, -73.92772298373416 40.78149193576416, -73.92767427118783 40.78151074730713, -73.92761569336265 40.78152787409747, -73.92787171336485 40.78187175535241, -73.92811308810398 40.78221723968305, -73.9282290720672 40.78237732036637, -73.92886477976359 40.78209940178856, -73.92924527771505 40.78193762401923)))","Active"
"M-11R-SYNTURF-0121","M-11R","M-11R","Wards Island - Field 73","Wards Meadow Loop","Field Group","Infill","Uncoated Sand","false","Unknown","Randall's Island Park Alliance","Unknown","NULL","Unknown","NULL","05/31/2009","False","M","MULTIPOLYGON (((-73.9286589240352 40.7829368673905, -73.92967736757478 40.78249468957097, -73.9295031761176 40.78223434618962, -73.92950171802376 40.78223075769788, -73.92953233787125 40.78221447283755, -73.92937850868695 40.782030092744215, -73.92937012387846 40.782032024585334, -73.92935918880937 40.78201353147757, -73.92936575005558 40.78200745891195, -73.9293580953809 40.781991174044535, -73.92933549381812 40.781961363477336, -73.92928300241876 40.78196219215795, -73.92924936000091 40.781941061040214, -73.92822880525108 40.78238196048672, -73.92858116056065 40.78284552814596, -73.9286589240352 40.7829368673905)))","Active"
